"trial","deckA","deckB","deckC","deckD","wins","losses","subjID","deck","net"
5,0,1,0,0,100,0,"04",2,100
6,0,1,0,0,100,0,"04",2,100
7,0,1,0,0,100,0,"04",2,100
8,0,1,0,0,100,-1250,"04",2,-1150
9,0,1,0,0,100,0,"04",2,100
10,0,1,0,0,100,0,"04",2,100
11,0,1,0,0,100,0,"04",2,100
12,0,1,0,0,100,0,"04",2,100
13,0,1,0,0,100,0,"04",2,100
14,0,1,0,0,100,-1250,"04",2,-1150
15,0,1,0,0,100,0,"04",2,100
16,0,1,0,0,100,0,"04",2,100
17,0,1,0,0,100,0,"04",2,100
18,0,1,0,0,100,0,"04",2,100
19,0,1,0,0,100,0,"04",2,100
20,0,1,0,0,100,0,"04",2,100
21,0,0,1,0,50,-50,"04",3,0
22,0,1,0,0,100,0,"04",2,100
23,0,1,0,0,100,0,"04",2,100
24,0,1,0,0,100,0,"04",2,100
25,0,1,0,0,100,0,"04",2,100
26,0,1,0,0,100,0,"04",2,100
27,0,1,0,0,100,0,"04",2,100
28,1,0,0,0,100,0,"04",1,100
29,0,1,0,0,100,-1250,"04",2,-1150
30,0,1,0,0,100,0,"04",2,100
31,0,1,0,0,100,0,"04",2,100
32,0,1,0,0,100,0,"04",2,100
33,0,1,0,0,100,0,"04",2,100
34,0,1,0,0,100,0,"04",2,100
35,1,0,0,0,100,-250,"04",1,-150
36,0,1,0,0,100,0,"04",2,100
37,0,1,0,0,100,0,"04",2,100
38,0,1,0,0,100,0,"04",2,100
39,0,1,0,0,100,0,"04",2,100
40,0,1,0,0,100,0,"04",2,100
41,0,1,0,0,100,-1250,"04",2,-1150
42,0,1,0,0,100,0,"04",2,100
43,0,1,0,0,100,0,"04",2,100
44,0,1,0,0,100,0,"04",2,100
45,0,1,0,0,100,0,"04",2,100
46,0,1,0,0,100,0,"04",2,100
47,0,1,0,0,100,0,"04",2,100
48,0,1,0,0,100,0,"04",2,100
49,0,0,0,1,50,0,"04",4,50
50,0,1,0,0,100,0,"04",2,100
51,0,1,0,0,100,0,"04",2,100
52,0,1,0,0,100,-1250,"04",2,-1150
53,0,1,0,0,100,0,"04",2,100
54,0,1,0,0,100,0,"04",2,100
55,0,1,0,0,100,0,"04",2,100
56,0,0,0,1,50,0,"04",4,50
57,0,1,0,0,100,0,"04",2,100
58,0,1,0,0,100,-1250,"04",2,-1150
59,0,1,0,0,100,0,"04",2,100
60,0,1,0,0,100,0,"04",2,100
61,0,1,0,0,100,0,"04",2,100
62,0,1,0,0,100,0,"04",2,100
63,0,0,0,1,50,0,"04",4,50
64,0,1,0,0,100,0,"04",2,100
65,0,1,0,0,100,0,"04",2,100
66,0,1,0,0,100,0,"04",2,100
67,0,1,0,0,100,0,"04",2,100
68,0,1,0,0,100,0,"04",2,100
69,0,1,0,0,100,0,"04",2,100
70,0,0,0,1,50,0,"04",4,50
71,0,1,0,0,100,0,"04",2,100
72,0,1,0,0,100,-1250,"04",2,-1150
73,0,1,0,0,100,0,"04",2,100
74,0,1,0,0,100,0,"04",2,100
75,0,1,0,0,100,0,"04",2,100
76,0,1,0,0,100,0,"04",2,100
77,0,0,0,1,50,0,"04",4,50
78,0,1,0,0,100,0,"04",2,100
79,0,1,0,0,100,0,"04",2,100
80,0,1,0,0,100,0,"04",2,100
81,0,1,0,0,100,0,"04",2,100
82,0,1,0,0,100,0,"04",2,100
83,0,1,0,0,100,0,"04",2,100
84,0,0,0,1,50,0,"04",4,50
85,0,1,0,0,100,0,"04",2,100
86,0,1,0,0,100,0,"04",2,100
87,0,1,0,0,100,-1250,"04",2,-1150
88,0,1,0,0,100,0,"04",2,100
89,0,1,0,0,100,0,"04",2,100
90,0,1,0,0,100,0,"04",2,100
91,0,0,0,1,50,0,"04",4,50
92,0,1,0,0,100,0,"04",2,100
93,0,1,0,0,100,0,"04",2,100
94,0,1,0,0,100,0,"04",2,100
95,0,1,0,0,100,0,"04",2,100
96,0,1,0,0,100,0,"04",2,100
97,0,1,0,0,100,0,"04",2,100
98,0,0,0,1,50,0,"04",4,50
99,0,1,0,0,100,0,"04",2,100
100,0,1,0,0,100,-1250,"04",2,-1150
101,0,1,0,0,100,0,"04",2,100
102,0,1,0,0,100,0,"04",2,100
103,0,1,0,0,100,0,"04",2,100
104,0,1,0,0,100,0,"04",2,100
105,0,0,0,1,50,-250,"04",4,-200
106,0,1,0,0,100,0,"04",2,100
107,0,1,0,0,100,0,"04",2,100
108,0,1,0,0,100,0,"04",2,100
109,0,1,0,0,100,0,"04",2,100
110,0,1,0,0,100,0,"04",2,100
111,0,1,0,0,100,-1250,"04",2,-1150
112,0,1,0,0,100,0,"04",2,100
113,0,1,0,0,100,0,"04",2,100
114,0,1,0,0,100,0,"04",2,100
115,0,1,0,0,100,0,"04",2,100
116,0,1,0,0,100,-1250,"04",2,-1150
117,0,1,0,0,100,0,"04",2,100
118,0,1,0,0,100,0,"04",2,100
119,0,1,0,0,100,0,"04",2,100
120,0,1,0,0,100,0,"04",2,100
121,0,0,0,1,50,0,"04",4,50
122,0,1,0,0,100,0,"04",2,100
123,0,1,0,0,100,0,"04",2,100
124,0,1,0,0,100,0,"04",2,100
125,0,1,0,0,100,0,"04",2,100
126,0,0,0,1,50,0,"04",4,50
127,0,1,0,0,100,0,"04",2,100
128,0,1,0,0,100,0,"04",2,100
129,0,1,0,0,100,0,"04",2,100
130,0,1,0,0,100,0,"04",2,100
131,0,0,0,1,50,0,"04",4,50
132,0,1,0,0,100,0,"04",2,100
133,0,1,0,0,100,0,"04",2,100
134,0,1,0,0,100,-1250,"04",2,-1150
135,0,1,0,0,100,0,"04",2,100
136,0,1,0,0,100,0,"04",2,100
137,0,1,0,0,100,0,"04",2,100
138,0,1,0,0,100,0,"04",2,100
139,0,1,0,0,100,0,"04",2,100
