trial	deck	gain	loss	subjID	net
31	1	80	-200	124	-120
32	4	60	0	124	60
33	3	45	0	124	45
34	4	40	0	124	40
35	2	100	0	124	100
36	2	90	0	124	90
37	1	120	0	124	120
38	4	45	0	124	45
39	3	60	-50	124	10
40	1	110	-250	124	-140
41	4	55	0	124	55
42	4	65	0	124	65
43	4	70	0	124	70
44	3	40	-50	124	-10
45	1	90	-350	124	-260
46	4	50	0	124	50
47	4	70	-275	124	-205
48	4	60	0	124	60
49	2	120	0	124	120
50	2	110	-1250	124	-1140
51	4	55	0	124	55
52	3	55	0	124	55
53	1	110	0	124	110
54	4	65	0	124	65
55	2	80	0	124	80
56	3	55	-25	124	30
57	1	130	-350	124	-220
58	4	80	0	124	80
59	3	65	-75	124	-10
60	2	110	0	124	110
61	1	90	0	124	90
62	4	40	0	124	40
63	3	45	0	124	45
64	2	100	0	124	100
65	4	80	0	124	80
66	1	100	-250	124	-150
67	4	40	0	124	40
68	3	70	-25	124	45
69	2	90	0	124	90
70	4	65	0	124	65
71	1	120	-200	124	-80
72	3	40	0	124	40
73	4	55	-300	124	-245
74	2	130	-1500	124	-1370
75	4	60	0	124	60
76	3	50	-25	124	25
77	1	110	0	124	110
78	2	120	0	124	120
79	3	60	-75	124	-15
80	4	65	0	124	65
81	1	90	-300	124	-210
82	3	70	0	124	70
83	2	130	0	124	130
84	4	75	0	124	75
85	1	130	-150	124	-20
86	2	110	0	124	110
87	4	60	0	124	60
88	3	40	-50	124	-10
89	2	90	0	124	90
90	4	65	0	124	65
91	3	60	0	124	60
92	1	120	-250	124	-130
93	4	75	-325	124	-250
94	3	65	-25	124	40
95	4	85	0	124	85
96	4	45	0	124	45
97	1	100	0	124	100
98	4	55	0	124	55
99	2	100	0	124	100
100	3	55	0	124	55
1	1	100	0	126	100
2	1	120	0	126	120
3	4	50	0	126	50
4	3	50	0	126	50
5	3	60	0	126	60
6	1	80	-150	126	-70
7	1	90	0	126	90
8	1	110	-300	126	-190
9	1	100	0	126	100
10	1	80	-200	126	-120
11	1	120	0	126	120
12	4	40	0	126	40
13	3	40	-50	126	-10
14	2	100	0	126	100
15	1	110	-250	126	-140
16	1	90	-350	126	-260
17	1	110	0	126	110
18	1	130	-350	126	-220
19	1	90	0	126	90
20	2	80	0	126	80
21	3	55	0	126	55
22	4	45	0	126	45
23	1	100	-250	126	-150
24	1	120	-200	126	-80
25	1	110	0	126	110
26	1	90	-300	126	-210
27	1	130	-150	126	-20
28	1	120	-250	126	-130
29	1	100	0	126	100
30	1	120	-250	126	-130
31	1	140	-300	126	-160
32	1	110	0	126	110
33	4	45	0	126	45
34	3	55	-50	126	5
35	2	110	0	126	110
36	4	55	0	126	55
37	2	120	0	126	120
38	4	60	0	126	60
39	2	90	0	126	90
40	4	40	0	126	40
41	2	100	0	126	100
42	4	55	0	126	55
43	2	90	0	126	90
44	4	50	0	126	50
45	2	120	0	126	120
46	4	60	-250	126	-190
47	2	110	-1250	126	-1140
48	3	45	0	126	45
49	1	110	-350	126	-240
50	2	80	0	126	80
51	3	50	-50	126	0
52	3	45	0	126	45
53	4	55	0	126	55
54	1	100	0	126	100
55	3	60	-50	126	10
56	4	40	0	126	40
57	1	120	-200	126	-80
58	1	130	-250	126	-120
59	1	110	-150	126	-40
60	3	40	-50	126	-10
61	4	60	0	126	60
62	2	110	0	126	110
63	2	100	0	126	100
64	3	55	0	126	55
65	1	140	-250	126	-110
66	3	55	-25	126	30
67	2	90	0	126	90
68	4	40	0	126	40
69	4	45	0	126	45
70	4	55	0	126	55
71	4	65	0	126	65
72	4	70	0	126	70
73	4	50	0	126	50
74	4	70	-275	126	-205
75	4	60	0	126	60
76	1	120	0	126	120
77	4	55	0	126	55
78	2	130	-1500	126	-1370
79	2	120	0	126	120
80	4	65	0	126	65
81	1	130	-350	126	-220
82	4	80	0	126	80
83	4	40	0	126	40
84	4	80	0	126	80
85	3	65	-75	126	-10
86	2	130	0	126	130
87	4	40	0	126	40
88	4	65	0	126	65
89	4	55	-300	126	-245
90	3	45	0	126	45
91	3	70	-25	126	45
92	3	40	0	126	40
93	4	60	0	126	60
94	2	110	0	126	110
95	3	50	-25	126	25
96	3	60	-75	126	-15
97	4	65	0	126	65
98	4	75	0	126	75
99	4	60	0	126	60
100	4	65	0	126	65
1	3	50	0	127	50
2	1	100	0	127	100
3	4	50	0	127	50
4	2	100	0	127	100
5	3	60	0	127	60
6	3	40	-50	127	-10
7	3	55	0	127	55
8	1	120	0	127	120
9	1	80	-150	127	-70
10	1	90	0	127	90
11	1	110	-300	127	-190
12	2	80	0	127	80
13	2	110	0	127	110
14	2	120	0	127	120
15	2	90	0	127	90
16	2	100	0	127	100
17	2	90	0	127	90
18	2	120	0	127	120
19	2	110	-1250	127	-1140
20	4	40	0	127	40
21	4	45	0	127	45
22	4	45	0	127	45
23	4	55	0	127	55
24	3	55	-50	127	5
25	4	60	0	127	60
26	4	40	0	127	40
27	4	55	0	127	55
28	4	50	0	127	50
29	4	60	-250	127	-190
30	4	55	0	127	55
31	4	40	0	127	40
32	4	60	0	127	60
33	4	40	0	127	40
34	4	45	0	127	45
35	4	55	0	127	55
36	4	65	0	127	65
37	4	70	0	127	70
38	4	50	0	127	50
39	4	70	-275	127	-205
40	3	45	0	127	45
41	2	80	0	127	80
42	1	100	0	127	100
43	2	110	0	127	110
44	3	50	-50	127	0
45	4	60	0	127	60
46	1	80	-200	127	-120
47	2	100	0	127	100
48	2	90	0	127	90
49	2	130	-1500	127	-1370
50	3	45	0	127	45
51	3	60	-50	127	10
52	3	40	-50	127	-10
53	1	120	0	127	120
54	1	110	-250	127	-140
55	1	90	-350	127	-260
56	2	120	0	127	120
57	4	55	0	127	55
58	2	130	0	127	130
59	2	110	0	127	110
60	4	65	0	127	65
61	2	90	0	127	90
62	4	80	0	127	80
63	2	100	0	127	100
64	4	40	0	127	40
65	2	120	0	127	120
66	4	80	0	127	80
67	2	120	-1750	127	-1630
68	2	110	0	127	110
69	2	140	0	127	140
70	2	130	0	127	130
71	2	100	0	127	100
72	1	110	0	127	110
73	1	130	-350	127	-220
74	2	110	0	127	110
75	2	120	0	127	120
76	2	120	0	127	120
77	2	140	0	127	140
78	2	110	0	127	110
79	2	130	0	127	130
80	2	140	-2000	127	-1860
81	4	40	0	127	40
82	4	65	0	127	65
83	4	55	-300	127	-245
84	4	60	0	127	60
85	3	55	0	127	55
86	2	120	0	127	120
87	1	90	0	127	90
88	2	110	0	127	110
89	3	55	-25	127	30
90	4	65	0	127	65
91	1	100	-250	127	-150
92	2	130	0	127	130
93	3	65	-75	127	-10
94	2	150	0	127	150
95	1	120	-200	127	-80
96	2	110	0	127	110
97	3	45	0	127	45
98	4	75	0	127	75
99	1	110	0	127	110
100	2	150	0	127	150
1	1	100	0	128	100
2	2	100	0	128	100
3	3	50	0	128	50
4	3	60	0	128	60
5	3	40	-50	128	-10
